Departamento;1998;1999;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Alto Paraguay;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;2.190;2.317;1.950;4/
Alto Parana;3.467;2.716;2.829;2.345;2.392;2.512;2.511;2.136;2.649;2.760;2.332;2.734;2.863;2.476;2.572;2.887;2.813;2.622;2.664;2.663
Amambay;4/;4/;4/;4/;1.545;1.633;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;2.232;2.580;2.422;4/
Asuncion;3.964;3.772;3.660;2.978;3.248;3.251;2.978;3.171;2.943;2.749;2.688;3.115;3.385;3.274;3.890;4.241;4.300;3.889;4.343;3.529
Boqueron;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;5.159;4.443;4.060;4/
Caaguazu;1.398;1.488;1.484;1.480;1.734;1.444;1.325;1.336;1.355;1.545;1.786;1.658;1.438;1.553;1.934;2.727;1.706;1.762;2.479;1.921
Caazapa;4/;4/;4/;4/;1.334;1.195;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;2.056;1.555;1.407;1.494
Canindeyu;4/;4/;4/;4/;2.013;1.871;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;1.912;2.624;2.206;4/
Central;2.886;2.624;2.385;1.905;1.959;1.879;2.003;1.956;1.934;2.073;2.048;2.152;2.583;2.450;2.705;2.746;2.854;2.591;2.441;2.697
Concepcion;4/;4/;4/;4/;1.504;1.619;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;1.788;1.763;1.518;4/
Cordillera;4/;4/;4/;4/;1.317;1.074;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;1.872;1.780;1.609;4/
Guaira;4/;4/;4/;4/;1.209;1.309;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;1.715;1.385;1.504;4/
Itapua;2.071;2.277;1.576;1.356;1.868;2.141;1.726;1.477;1.403;2.050;1.676;1.845;2.350;1.770;1.816;1.891;2.020;1.976;2.073;2.175
Misiones;4/;4/;4/;4/;1.394;1.039;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;1.862;1.928;1.938;4/
Neembucu;4/;4/;4/;4/;1.006;1.006;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;1.613;1.617;1.806;4/
Paraguari;4/;4/;4/;4/;1.150;1.150;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;1.772;1.515;1.531;4/
Pte. Hayes;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;4/;2.586;2.838;2.271;4/
San Pedro;1.056;1.114;1.230;1.244;1.290;1.260;1.537;1.342;1.447;1.534;1.352;1.445;1.572;1.599;2.046;1.898;1.474;1.600;1.818;2.478